Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,0,1,1,1,16,1,0,8,1,1,64,1,0,10,2,0,16,1,0,2,2,1,32,0,0,5,1,0,1024,1,0,2,1,1.23975827827,0.559
1,32,1,0,4,2,0,32,0,0,8,2,1,16,0,0,4,1,1,32,1,0,2,1,0,8,0,0,7,1,0,512,1,0,2,1,1.10268950481,0.6407
1,64,1,0,0,2,0,16,0,0,2,0,1,8,0,0,5,2,1,32,0,0,3,0,0,8,0,0,3,1,0,128,1,0,5,1,1.36922076855,0.5177
1,64,0,0,1,1,1,32,1,0,10,2,1,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,9,1,1,1024,0,0,6,3,1.43640848503,0.5075
1,8,0,0,6,2,1,8,0,0,5,0,0,16,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,1,2,1.25512536621,0.5629
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,32,1,0,0,2,1.0591873539,0.6267
1,64,1,0,9,2,1,8,1,0,0,2,1,16,1,0,3,0,1,8,1,0,8,2,1,8,1,0,8,1,1,512,1,0,8,2,3.1812964035,0.1632
1,64,1,0,4,2,0,32,1,0,5,2,1,8,0,0,7,1,0,32,1,0,10,0,0,8,1,0,0,2,1,1024,0,0,10,1,1.55537579975,0.4889
1,64,0,0,1,0,0,32,0,0,7,1,0,32,0,0,7,2,0,32,0,0,6,1,1,32,1,0,3,2,1,512,1,0,10,1,1.19898532991,0.677
1,32,0,0,4,0,0,8,1,0,5,1,1,16,1,0,8,2,0,8,1,0,5,2,1,64,1,0,9,1,0,64,0,0,2,1,13.870745343,0.1
1,64,1,0,0,2,0,16,0,0,2,0,1,8,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,1,2,1.22269921474,0.5906
1,64,1,0,0,2,0,16,0,0,2,0,1,8,1,0,5,2,1,32,0,0,3,0,0,8,1,0,3,2,1,16,1,0,10,1,1.79688816605,0.3528
1,8,0,0,6,2,1,8,0,0,5,0,0,16,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,5,1,1.22075394955,0.5705
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,32,1,0,0,2,0.982003029251,0.6528
1,16,0,0,1,1,1,32,1,0,8,1,1,64,1,0,10,2,0,16,1,0,2,2,1,32,0,0,5,1,0,1024,1,0,2,1,2.89982556,0.2258
1,8,0,0,6,2,1,8,0,0,10,2,1,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,9,1,1,1024,1,0,6,3,2.14415357323,0.2483
1,64,1,0,8,2,0,32,1,0,5,2,1,8,0,0,7,1,0,32,1,0,10,0,0,8,1,0,3,2,1,512,1,0,10,1,1.62891726227,0.4483
1,64,0,0,1,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,6,3,1.02455629177,0.641
1,64,1,0,9,2,1,8,1,0,0,2,1,16,1,0,3,0,1,8,1,0,8,2,1,8,1,0,8,2,1,512,1,0,10,1,1.46519088345,0.5175
1,16,0,0,1,1,1,16,1,0,8,1,1,64,1,0,10,2,0,16,1,0,2,2,1,32,0,0,5,1,0,1024,1,0,2,1,1.52913160954,0.4397
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06108766079,0.635
1,64,1,0,9,2,1,8,0,0,5,0,0,16,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,5,1,1.51347416039,0.482
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,3,2,1,64,1,0,10,1,1.36088704453,0.5586
1,16,0,0,1,1,1,16,1,0,5,2,1,8,0,0,7,1,0,32,1,0,10,0,0,8,1,0,3,2,1,256,1,0,10,1,1.55087090168,0.4593
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,32,1,0,10,1,1.48035259571,0.4915
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,6,3,0.828708638954,0.7187
1,64,0,0,1,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,0,0,3,0,0,8,1,0,3,2,1,16,1,0,10,1,1.79292043953,0.4293
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,0,2,1.10691032028,0.6171
1,64,1,0,8,2,0,32,1,0,5,2,1,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,3,0.798749127483,0.7281
1,8,1,0,0,2,0,16,0,0,2,0,1,32,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,1,2,1.1015183547,0.6353
1,16,0,0,1,1,1,16,1,0,5,2,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.253502808,0.5626
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,6,3,1.22770322285,0.5779
1,64,1,0,8,2,0,32,1,0,5,2,1,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,3,2.0164970829,0.3615
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,0,0.934918454266,0.6754
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,3,2,1,64,1,0,10,1,1.50028489342,0.4884
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,1,2,0,32,1,0,0,2,0,32,0,0,4,0,0,256,1,0,1,2,1.1483975544,0.6053
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,0,2,1.1358135973,0.6101
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,4,0,0,256,1,0,1,2,1.42306923027,0.4884
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,0,2,0.874007763577,0.6953
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11151901875,0.6128
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09026813297,0.6202
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,0,2.30267523041,0.1
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,0,0.874602632809,0.6979
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,4,0,0,256,1,0,1,1,2.32060241623,0.4037
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,0,2,0.910899296761,0.6848
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,1,1,8,1,0,4,0,0,256,1,0,1,2,1.4722661684,0.4813
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,0,2,1.04774353447,0.6323
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,0,2.30264856873,0.1
1,64,1,0,8,1,1,32,1,0,2,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.02392522926,0.6421
1,16,0,0,1,1,1,16,1,0,5,2,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11696346626,0.6111
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.08548322668,0.6312
1,64,1,0,8,1,1,8,1,0,10,2,0,8,0,0,4,2,1,64,1,0,7,2,1,16,1,0,7,1,1,256,1,0,1,3,2.51782113571,0.2594
1,64,0,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,0,8,0,0,4,1,1,8,1,0,8,0,1,512,1,0,1,2,1.16936280022,0.5918
1,64,1,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,0,8,0,0,4,1,1,8,1,0,8,0,1,1024,1,0,7,0,1.9142754755,0.4633
1,64,1,0,8,2,0,16,0,0,2,1,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.16463978462,0.593
1,64,1,0,8,1,1,32,1,0,2,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0640366684,0.6245
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,1,0,32,0,0,4,0,0,256,1,0,1,2,1.1124505579,0.6129
1,64,1,0,8,1,1,32,1,0,2,2,0,8,0,0,6,2,1,64,1,0,7,2,1,16,1,0,7,1,1,1024,0,0,7,0,1.03782563152,0.6458
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.08109177399,0.6233
1,64,1,0,1,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11120962944,0.6108
1,64,1,0,0,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09380750446,0.6298
1,64,0,0,8,1,1,32,1,0,10,2,0,8,0,0,4,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,0.965258921432,0.6758
1,64,1,0,8,1,1,32,1,0,2,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.02126334171,0.6392
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03324664993,0.6447
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.1510629631,0.5942
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,1,0,32,0,0,4,0,0,256,1,0,1,1,1.61943128967,0.4766
1,64,1,0,1,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06107719908,0.6384
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03845513115,0.6434
1,64,1,0,8,2,0,16,0,0,2,1,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.15412120104,0.6002
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06115013542,0.6347
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03414821758,0.64
1,64,0,0,8,1,1,32,1,0,10,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.00883174553,0.6591
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.16664668293,0.6012
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.04343347416,0.6448
1,64,1,0,6,2,0,16,0,0,2,1,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.24245021305,0.5634
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0595395134,0.6349
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0609487237,0.6357
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.22893080235,0.5755
1,64,1,0,8,2,0,16,0,0,2,1,1,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.12035070457,0.6086
1,64,1,0,0,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.15760564594,0.6091
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.07989481783,0.6333
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05883719082,0.6399
1,64,1,0,6,2,0,16,0,0,10,2,0,8,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,11.5272906403,0.2431
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,14.5062856644,0.1
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.13625126152,0.6033
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11943521156,0.6106
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09279004173,0.6233
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06283532133,0.6377
1,64,0,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05787126217,0.6299
1,64,1,0,8,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03149927959,0.6439
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.14215279274,0.6038
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05025479279,0.6371
1,64,1,0,5,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0751215436,0.6369
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0888513052,0.6223
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0434151185,0.6443
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03151928406,0.6431
