Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,9,0,0,32,1,0,4,2,1,16,1,0,1,2,0,32,1,0,2,2,1,32,0,0,0,2,0,16,1,0,7,1,1024,0,0,7,1,14.5055694977,0.1
1,64,1,0,10,2,1,8,1,0,5,0,1,8,0,0,8,0,0,8,0,0,2,2,0,16,0,0,9,2,1,1024,1,0,2,0,1024,0,0,5,1,0.991698837948,0.6559
1,32,1,0,0,1,0,8,0,0,2,0,0,32,1,0,1,2,0,64,0,0,4,1,1,8,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.40131149406,0.502
1,64,0,0,9,2,0,16,0,0,9,1,0,32,1,0,3,0,1,64,0,0,9,1,1,16,1,0,6,0,1,1024,1,0,2,1,32,1,0,0,2,1.69756442528,0.4593
1,64,1,0,0,0,0,64,0,0,6,0,1,16,1,0,10,0,0,64,0,0,0,1,0,64,0,0,7,1,0,512,0,0,4,0,1024,1,0,4,2,1.24060461845,0.5683
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,10,1,0,32,1,0,1,2,0,64,0,0,5,0,128,1,0,0,2,1.13310106449,0.5999
1,32,1,0,0,2,0,8,0,0,1,1,0,8,1,0,0,1,0,32,0,0,8,0,1,64,1,0,7,2,0,16,1,0,7,1,32,0,0,10,0,2.30264275513,0.1
1,8,1,0,1,2,0,8,1,0,2,0,0,64,1,0,3,2,1,64,0,0,8,2,0,32,0,0,8,1,0,128,0,0,2,1,256,0,0,3,2,14.5062856903,0.1
1,64,1,0,8,2,1,8,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.82057747765,0.3588
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,0,1,1,64,0,0,0,1,1,32,1,0,10,1,256,0,0,0,2,1.45370571003,0.493
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,64,1,0,6,1,32,1,0,1,0,1.06008082352,0.6328
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.21058620119,0.5695
1,16,0,0,0,2,1,8,0,0,9,1,1,64,0,0,6,1,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,2.76058527298,0.3623
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,32,0,0,3,1,1,32,0,0,4,1,1024,1,0,1,2,1.47542109146,0.485
1,64,0,0,8,0,1,16,0,0,4,2,0,16,1,0,10,1,1,16,0,0,3,1,1,16,0,0,9,0,1,32,0,0,4,0,32,1,0,8,2,1.25942410679,0.5609
1,16,0,0,1,0,1,8,0,0,7,0,1,32,1,0,5,0,1,32,1,0,7,1,1,8,0,0,7,1,1,256,1,0,8,0,512,0,0,8,3,3.46739418793,0.1446
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,64,0,0,7,0,1,32,1,0,3,1,128,0,0,7,1,1.11655016937,0.6222
1,64,0,0,8,1,0,32,1,0,3,0,0,16,0,0,0,0,1,16,0,0,0,2,1,64,1,0,8,1,0,512,1,0,5,1,128,0,0,3,1,2.45946625671,0.3655
1,32,0,0,1,1,1,16,1,0,2,1,0,32,0,0,3,0,0,16,0,0,7,0,1,32,1,0,0,0,1,32,1,0,5,0,32,0,0,1,3,1.32039260654,0.5465
1,16,1,0,8,0,0,32,1,0,5,0,0,32,0,0,10,0,0,64,0,0,9,0,1,16,1,0,5,1,1,16,0,0,2,1,256,1,0,0,1,1.51147183228,0.4668
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.19686029758,0.5752
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,2,1,256,1,0,4,1,1.22616149578,0.5872
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,10,1,1,64,0,0,7,0,1,32,1,0,3,1,128,0,0,1,1,1.03644650211,0.6399
1,32,0,0,1,1,1,16,1,0,2,1,0,32,0,0,6,1,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.43713186493,0.5603
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.15295634804,0.6056
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,1,0,0,64,0,0,10,2,1,64,0,0,4,0,1,32,1,0,3,1,128,0,0,0,2,0.96105316143,0.6661
1,32,0,0,1,1,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,64,1,0,6,1,32,1,0,1,0,1.12116677055,0.6018
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,64,1,0,6,1,32,1,0,4,0,1.16302939301,0.6014
1,32,1,0,0,1,0,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.26359612179,0.6222
1,64,1,0,8,2,1,8,0,0,5,0,0,32,0,0,10,0,0,64,0,0,9,0,1,16,1,0,5,1,1,16,0,0,2,1,256,1,0,0,1,1.29362478447,0.5517
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,64,1,0,6,1,32,1,0,1,0,0.946128382683,0.6704
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.18473554592,0.5722
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,10,1,0,32,1,0,1,0,1,64,1,0,6,1,32,1,0,1,0,1.09469470882,0.6118
1,8,0,0,7,0,0,32,0,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,64,1,0,6,1,1024,1,0,1,0,1.10096834011,0.6102
1,64,1,0,10,2,0,8,1,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.18658224106,0.5795
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,4,1,1,8,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.49967178612,0.5095
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,2,0,16,0,0,4,0,1,64,1,0,6,1,32,1,0,1,0,1.12360750961,0.6061
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,1024,1,0,2,0,1024,0,0,5,1,1.25781082916,0.6037
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,64,0,0,7,1,1,32,1,0,3,1,128,0,0,7,1,1.33289499416,0.5492
1,32,0,0,9,0,0,32,1,0,4,2,1,16,1,0,1,2,0,32,1,0,2,2,1,32,0,0,0,2,0,16,1,0,7,1,1024,0,0,7,1,14.5062856842,0.1
1,32,1,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,0.952137811279,0.6689
1,32,0,0,7,2,0,32,0,0,6,0,1,32,1,0,2,1,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.24400105515,0.556
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,1024,1,0,2,0,1024,0,0,5,1,1.47224386425,0.5405
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.48997282925,0.5457
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,0,0,5,0,1.23004442616,0.5535
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.41441082478,0.5246
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.3327693737,0.5377
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,1024,1,0,1,0,1.07714499989,0.6099
1,32,0,0,1,1,1,32,1,0,6,1,1,64,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.33846372757,0.5374
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.09452538376,0.6271
1,64,1,0,8,2,1,8,0,0,5,0,0,32,1,0,10,1,0,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.24450639744,0.5716
1,16,1,0,8,2,1,32,1,0,6,1,1,64,1,0,6,0,1,16,0,0,7,2,0,16,0,0,4,0,1,32,1,0,3,1,128,0,0,0,2,1.72046789093,0.4469
1,64,1,0,10,2,0,8,1,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.73562354698,0.4513
1,32,0,0,7,1,0,32,0,0,0,0,1,16,1,0,4,0,0,16,1,0,4,1,1,8,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,2.23329139938,0.302
1,64,1,0,10,2,0,8,1,0,8,2,0,8,1,0,2,0,1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,2,1,256,1,0,4,1,1.27080852757,0.5948
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,1,0,1,16,1,0,8,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.29168127384,0.562
1,32,0,0,1,1,1,16,1,0,2,1,0,32,0,0,6,1,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,0.971503677464,0.6796
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.50368090534,0.5109
1,64,1,0,10,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,9,2,1,1024,1,0,8,0,1024,0,0,5,1,1.42027689228,0.5337
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,5,0,1.32674946728,0.5351
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.12253979645,0.603
1,32,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.25212103596,0.603
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.22817721157,0.5884
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,1,1.20355251141,0.636
1,16,1,0,3,1,0,8,1,0,8,2,0,8,1,0,2,0,1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,2,1,256,1,0,4,1,1.08302266159,0.618
1,8,0,0,2,1,0,8,0,0,0,0,1,16,1,0,4,0,0,16,1,0,7,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.63603246269,0.5573
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,1,0,1,0,1,64,1,0,6,1,1024,1,0,1,0,1.0270556736,0.6315
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,0,0,6,1,1024,1,0,1,0,1.16292514038,0.5961
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.924801237202,0.6886
1,64,1,0,8,2,1,8,0,0,5,0,0,32,1,0,10,1,0,64,1,0,3,1,0,64,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.71832474785,0.4855
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.43742042351,0.5278
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,128,1,0,5,0,1.11494808683,0.6018
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,1,1024,1,0,2,0,1024,0,0,5,1,1.94507529182,0.3866
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.981925098896,0.6648
1,32,1,0,10,2,0,32,0,0,9,0,1,32,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,0.89076769371,0.681
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.41566516075,0.5422
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,0,0,3,2,1,128,1,0,6,1,128,1,0,5,0,0.989738827515,0.6524
1,32,1,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.74541104126,0.4341
1,64,1,0,0,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,4,0,0,32,1,0,3,1,128,0,0,0,2,1.12267910786,0.6042
1,32,1,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.00384862175,0.6606
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.47449409733,0.4626
1,8,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.19619314823,0.6181
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.2733867363,0.5538
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,3,1,0,64,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.36713059597,0.5356
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,1,1.09782731457,0.6329
1,32,1,0,10,2,0,32,0,0,9,0,1,32,1,0,6,2,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.42316903439,0.5469
1,16,1,0,3,1,0,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.2366330492,0.5668
1,64,1,0,0,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,4,0,0,32,1,0,5,0,16,0,0,4,0,1.11819947767,0.6049
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.952933732796,0.6718
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,128,1,0,1,0,0.925523573399,0.6751
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,0,128,1,0,5,0,1.20495376396,0.5781
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,0,0,6,1,1024,1,0,4,0,1.15083197708,0.5926
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.11828986988,0.6109
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.11131890688,0.616
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,256,1,0,4,1,1.18298281755,0.5768
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.04179684906,0.6411
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,0,1,128,1,0,5,0,0.960342332458,0.662
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.2229111639,0.5833
1,32,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.19975303841,0.582
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.29161749706,0.547
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.50523508015,0.4535
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.40886106262,0.5497
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,0,128,1,0,5,0,1.11550903625,0.606
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.08777887192,0.6203
1,64,1,0,10,2,0,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,14.5062856964,0.1
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.09930534515,0.6081
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,2.52282027435,0.3992
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,2,0.992106293583,0.6464
1,32,0,0,1,1,0,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.08410971708,0.623
1,32,1,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.61604751854,0.4326
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.01684042339,0.652
1,8,0,0,1,1,1,8,1,0,4,2,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.20117213974,0.5714
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,0,64,0,0,5,1,512,1,0,3,1,0.980721580505,0.6654
1,32,0,0,1,2,1,16,0,0,9,0,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,256,1,0,4,1,1.04014503651,0.6428
1,32,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,4,0,1.11142704573,0.6013
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.12485423126,0.6227
1,16,1,0,3,1,0,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,0.962365507317,0.6638
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.31745440502,0.587
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.58654471912,0.4175
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.45551037846,0.5124
1,32,0,0,0,1,0,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.07651130199,0.6268
1,32,0,0,1,2,1,16,0,0,9,0,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,5.92493317413,0.2141
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,512,0,0,3,1,1.69872991447,0.4371
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.00036628761,0.66
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.11571830826,0.6125
1,8,0,0,1,1,1,8,1,0,4,2,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.16919078903,0.5837
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,8,1,0,64,0,0,5,0,16,0,0,4,0,1.26529123459,0.5688
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,9,2,1,32,1,0,3,1,1024,0,0,0,2,1.03002785683,0.6291
1,16,1,0,3,1,0,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,0.927939073753,0.6762
