Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0322427990932,0.9892
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,0,1,0.0409555920266,0.9877
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,16,1,0,0,2,1,16,1,1,6,0,0.0427612739585,0.99
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,6,0,0.0609657188758,0.9818
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0573491656691,0.9892
1,64,0,0,3,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0408521093307,0.9868
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0551023505129,0.9839
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,7,0,0.0381527898796,0.9897
1,16,1,0,4,1,1,8,0,0,1,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,7,3,0.0516658374742,0.9904
1,32,1,0,4,1,1,16,0,1,7,2,1,16,0,1,1,2,1,16,1,1,0,2,0,256,1,1,7,0,0.0589986087595,0.9813
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,8,1,1,64,1,1,3,3,0.154060023212,0.9752
1,64,0,0,2,2,0,64,0,0,4,1,1,16,1,0,7,0,1,32,0,1,10,1,0,256,0,1,9,1,0.0390430836559,0.9871
1,16,1,0,4,1,1,16,0,0,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0566696375951,0.9894
1,8,1,0,2,2,1,8,0,1,8,1,1,16,1,0,7,0,1,16,1,0,0,1,1,256,1,1,7,0,0.179048969916,0.9479
1,64,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0502869534031,0.9897
1,64,0,0,2,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,0,1,16,0,1,6,0,0.0638520000577,0.9832
1,16,1,0,2,1,1,32,0,0,1,2,0,32,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.067223749277,0.989
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,0,0,1,16,1,1,6,1,0.0906688073445,0.9732
1,32,0,0,4,2,0,16,0,1,0,1,1,64,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0403257264759,0.9884
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0289884350158,0.9891
1,16,1,0,2,2,1,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.049087029066,0.9817
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,32,0,1,10,1,0,256,0,1,9,3,0.117425316054,0.9758
1,32,1,0,4,1,1,16,0,1,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0503635349542,0.9899
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,0,1,32,0,1,10,1,0,256,0,1,9,1,0.0469697945736,0.9882
1,16,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,0,16,1,0,0,2,1,16,1,1,3,3,0.068527616781,0.9884
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0359400873332,0.988
1,16,1,0,10,1,1,8,0,0,1,2,1,64,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0354774810963,0.9887
1,32,1,0,4,1,1,16,0,1,7,2,1,16,0,1,1,2,1,16,1,1,0,2,0,256,1,1,7,0,0.0481709285557,0.9842
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0500427156791,0.9855
1,64,0,0,2,2,0,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,0,7,0,0.033047764358,0.9888
1,64,0,0,2,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,2,1,256,1,1,3,3,0.0543689108977,0.9829
1,32,1,0,4,1,1,16,0,0,4,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,8,0,0.0641354540899,0.988
1,16,1,0,2,1,1,16,0,0,7,2,1,64,0,0,1,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0543083380178,0.9908
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0388512121001,0.9869
1,64,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0519302428991,0.9896
1,64,0,0,8,2,1,64,1,0,4,1,1,16,1,0,7,2,1,64,1,0,4,1,1,64,1,1,3,3,0.0634690972418,0.987
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.0636533878654,0.9894
1,32,0,0,4,2,0,32,0,0,1,2,0,32,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.0726081944674,0.9834
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0578555539019,0.9861
1,64,0,0,3,2,0,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0391481214632,0.9876
1,16,1,0,4,1,1,16,0,0,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0574808504313,0.9883
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,16,1,0,0,2,1,16,1,1,6,0,0.0482771209717,0.9862
1,16,0,0,2,2,1,16,0,0,4,1,1,16,1,0,4,2,0,16,1,0,0,2,1,16,1,1,3,3,0.0711889585912,0.9883
1,32,1,0,4,1,1,16,0,0,1,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,6,0,0.0460099766113,0.9877
1,16,1,0,4,1,1,16,0,0,4,1,0,32,1,0,4,2,0,16,1,0,3,2,1,16,1,1,8,0,0.0894578966647,0.981
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0267537440953,0.9908
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,1,0,2,1,256,1,0,7,0,0.0434513365871,0.9846
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,1,1,0,1,128,0,1,6,0,1.87063508835,0.1897
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,4,1,1,64,1,1,3,3,0.102725492361,0.9764
1,32,1,0,4,1,1,16,0,0,4,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,6,0,0.057575044553,0.9845
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0383186567778,0.9882
1,8,0,0,4,2,0,16,0,1,0,1,0,64,1,0,7,2,1,8,1,1,0,2,1,256,1,0,7,0,0.0412438929613,0.9868
1,64,0,0,2,2,1,16,0,0,7,2,1,64,0,0,1,2,0,64,1,0,8,1,1,512,1,1,3,3,0.0329816262915,0.9893
1,64,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0468892296285,0.9844
1,64,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0525710699469,0.9879
1,64,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0548710779414,0.9844
1,16,1,0,2,1,1,16,0,0,7,2,1,64,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0336463716568,0.989
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.0515056508601,0.9915
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.0375714921059,0.9871
1,64,0,0,3,2,0,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0396077676828,0.9862
1,64,0,0,8,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,128,1,1,3,3,0.0413416585281,0.9889
1,32,1,0,4,2,1,16,0,1,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0598448018655,0.9875
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.0418037415449,0.9864
1,32,1,0,4,2,1,16,0,1,7,2,1,64,0,0,3,2,0,64,1,0,0,2,1,16,1,1,6,0,0.037631737702,0.9896
1,32,1,0,4,1,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,4,1,1,64,1,1,3,3,0.0714720605016,0.9836
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,3,2,1,16,1,1,6,0,0.0341592242487,0.9901
1,16,0,0,2,1,1,16,0,0,7,2,1,64,1,0,7,2,1,32,1,1,0,2,1,256,1,1,7,0,0.0347642913461,0.9882
1,64,0,0,2,2,1,16,0,0,7,2,1,64,0,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0349291295607,0.9896
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0328379052365,0.989
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,16,1,1,3,3,0.0630539960921,0.9856
1,64,0,0,2,2,1,64,0,0,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.037008267775,0.9889
1,32,1,0,4,1,1,16,0,0,4,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,6,0,0.0485445429169,0.9894
1,16,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,64,1,0,8,1,1,512,1,1,3,3,0.0585092684269,0.9875
1,64,0,0,2,2,1,32,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,128,1,1,4,3,0.0342954132669,0.991
1,32,1,0,4,2,1,16,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0697469114095,0.9871
1,64,0,0,4,2,0,16,0,1,0,1,0,32,1,0,4,2,1,16,1,0,3,2,1,16,1,1,6,0,0.0481022721313,0.9863
1,32,1,0,4,1,1,16,0,0,4,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.0504266446255,0.9844
1,16,1,0,4,1,1,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0320528340552,0.9887
1,16,1,0,4,1,1,16,0,0,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.0507894789647,0.9855
1,64,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,8,1,1,0,2,1,256,1,0,7,0,0.0493567619087,0.9836
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,0,1,0,2,1,256,1,1,3,3,0.0644147583652,0.98
1,16,0,0,2,2,1,16,0,0,6,1,1,16,1,0,4,2,0,16,1,0,0,2,1,16,1,1,3,3,0.111424023765,0.9831
1,64,0,0,2,2,1,16,1,0,4,1,0,32,1,0,4,2,1,16,1,0,10,2,1,16,1,1,6,0,0.0453835990623,0.9885
1,64,0,0,2,2,1,32,0,0,4,1,0,32,1,0,4,2,1,16,0,0,0,2,1,128,1,1,4,3,0.0466029223356,0.9865
1,64,0,0,8,2,1,64,0,0,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.035757201745,0.988
1,16,1,0,4,1,1,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.0334002039219,0.9888
1,32,1,0,4,1,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,16,1,1,3,3,0.0738887469292,0.9868
1,64,0,0,2,2,1,32,0,0,4,2,1,64,1,0,7,2,1,32,1,1,0,2,1,256,1,1,7,0,0.063324746935,0.9811
1,16,0,0,2,1,1,16,0,0,7,2,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,0,0.030556987843,0.9896
1,64,0,0,2,2,1,32,0,0,4,1,0,32,1,0,4,2,1,16,1,0,8,0,1,128,0,1,6,3,0.0376483591642,0.9883
1,32,1,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,16,1,1,3,3,0.0768421767235,0.9848
1,32,1,0,4,2,1,16,0,1,7,2,1,64,0,0,3,2,0,64,1,0,0,0,1,128,0,1,6,3,0.0392752477989,0.9874
1,64,0,0,2,2,1,32,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,512,1,1,6,0,0.0332772909542,0.9896
1,64,1,0,2,2,1,32,0,0,4,1,1,16,1,0,4,2,1,16,1,0,0,0,1,128,1,1,4,3,0.0354514109813,0.9909
1,16,1,0,4,1,1,16,0,0,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,2,0.0474262914408,0.9871
1,16,0,0,2,1,1,16,0,0,7,2,1,64,1,0,7,2,1,32,1,1,0,2,1,256,1,1,7,0,0.0295426545789,0.9898
1,16,1,0,4,1,1,16,0,0,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,1,1,4,3,0.0422716952644,0.9878
1,16,1,0,4,1,1,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,0,128,0,1,6,0,0.0435538158995,0.9861
1,32,1,0,4,2,1,16,0,1,4,1,0,32,1,0,4,2,1,16,1,1,0,2,1,128,1,1,4,3,0.172623788521,0.9428
1,64,0,1,2,1,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,4,1,1,64,1,1,3,3,0.19869685955,0.9334
1,32,1,0,4,2,1,16,0,1,7,2,1,64,1,0,7,2,1,32,1,1,0,2,1,256,1,1,7,0,0.0365136005302,0.9883
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,1,16,1,0,0,0,1,128,0,1,6,3,0.0391261686295,0.987
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,0,0,2,1,256,1,1,7,0,0.0544713996755,0.9833
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,0,0,2,1,256,1,1,7,0,0.0281394726882,0.9909
